"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","15","7"
"02.01.2021","263","35","26"
"03.01.2021","201","37","11"
"04.01.2021","261","33","17"
"05.01.2021","540","57","12"
"06.01.2021","531","45","23"
"07.01.2021","477","32","13"
"08.01.2021","523","43","19"
"09.01.2021","406","36","15"
"10.01.2021","141","18","14"
"11.01.2021","258","46","15"
"12.01.2021","405","48","18"
"13.01.2021","488","50","20"
"14.01.2021","419","41","14"
"15.01.2021","410","60","20"
"16.01.2021","351","35","22"
"17.01.2021","202","25","15"
"18.01.2021","238","29","12"
"19.01.2021","465","50","27"
"20.01.2021","482","48","23"
"21.01.2021","498","53","23"
"22.01.2021","462","42","29"
"23.01.2021","439","41","11"
"24.01.2021","156","25","10"
"25.01.2021","161","36","18"
"26.01.2021","543","44","23"
"27.01.2021","464","50","25"
"28.01.2021","383","47","16"
"29.01.2021","346","50","31"
"30.01.2021","262","20","5"
"31.01.2021","179","19","7"
"01.02.2021","130","23","7"
"02.02.2021","360","34","11"
"03.02.2021","339","30","12"
"04.02.2021","323","43","12"
"05.02.2021","260","28","5"
"06.02.2021","268","21","6"
"07.02.2021","106","14","1"
"08.02.2021","136","32","11"
"09.02.2021","312","17","8"
"10.02.2021","334","25","16"
"11.02.2021","355","29","7"
"12.02.2021","225","19","4"
"13.02.2021","190","10","3"
"14.02.2021","116","12","7"
"15.02.2021","142","11","2"
"16.02.2021","249","15","5"
"17.02.2021","246","16","6"
"18.02.2021","254","26","11"
"19.02.2021","268","25","6"
"20.02.2021","199","20","2"
"21.02.2021","113","12","2"
"22.02.2021","104","9","7"
"23.02.2021","283","26","4"
"24.02.2021","252","20","7"
"25.02.2021","249","16","4"
"26.02.2021","266","23","6"
"27.02.2021","198","18","1"
"28.02.2021","90","10","2"
"01.03.2021","104","14","4"
"02.03.2021","223","18","5"
"03.03.2021","254","20","6"
"04.03.2021","229","13","2"
"05.03.2021","217","19","1"
"06.03.2021","213","19","2"
"07.03.2021","72","3","1"
"08.03.2021","114","11","2"
"09.03.2021","254","15","2"
"10.03.2021","273","18","2"
"11.03.2021","266","16","2"
"12.03.2021","236","16","2"
"13.03.2021","271","26","3"
"14.03.2021","78","5","1"
"15.03.2021","130","15","2"
"16.03.2021","313","26","6"
"17.03.2021","327","19","4"
"18.03.2021","289","14","1"
"19.03.2021","282","20","1"
"20.03.2021","298","15","2"
"21.03.2021","95","7","0"
"22.03.2021","157","9","0"
"23.03.2021","293","22","4"
"24.03.2021","328","17","1"
"25.03.2021","374","19","5"
"26.03.2021","381","18","3"
"27.03.2021","310","16","1"
"28.03.2021","158","12","1"
"29.03.2021","201","12","1"
"30.03.2021","358","18","1"
"31.03.2021","398","25","6"
"01.04.2021","361","15","3"
"02.04.2021","322","11","1"
"03.04.2021","202","19","2"
"04.04.2021","170","10","1"
"05.04.2021","205","13","1"
"06.04.2021","200","25","1"
"07.04.2021","415","23","1"
"08.04.2021","398","18","0"
"09.04.2021","358","13","0"
"10.04.2021","361","12","0"
"11.04.2021","170","10","1"
"12.04.2021","204","17","0"
"13.04.2021","423","23","2"
"14.04.2021","375","19","1"
"15.04.2021","342","14","3"
"16.04.2021","286","9","0"
"17.04.2021","325","6","0"
"18.04.2021","172","8","2"
"19.04.2021","209","13","0"
"20.04.2021","413","12","0"
"21.04.2021","383","9","0"
"22.04.2021","363","8","0"
"23.04.2021","336","5","0"

"Datenstand 23.04.2021 19:47:49"
