"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"28.02.2020","1","1","0"
"29.02.2020","1","0","0"
"01.03.2020","0","0","0"
"02.03.2020","2","0","0"
"03.03.2020","1","1","0"
"04.03.2020","0","0","0"
"05.03.2020","1","0","0"
"06.03.2020","2","1","0"
"07.03.2020","0","0","0"
"08.03.2020","1","0","0"
"09.03.2020","3","0","0"
"10.03.2020","7","0","0"
"11.03.2020","19","1","0"
"12.03.2020","18","2","1"
"13.03.2020","27","3","0"
"14.03.2020","24","1","0"
"15.03.2020","21","0","0"
"16.03.2020","29","2","0"
"17.03.2020","46","7","2"
"18.03.2020","53","8","4"
"19.03.2020","60","2","0"
"20.03.2020","78","12","1"
"21.03.2020","45","5","3"
"22.03.2020","34","9","3"
"23.03.2020","94","16","3"
"24.03.2020","100","15","4"
"25.03.2020","87","13","4"
"26.03.2020","96","23","4"
"27.03.2020","117","19","2"
"28.03.2020","82","16","1"
"29.03.2020","43","13","2"
"30.03.2020","78","18","5"
"31.03.2020","104","24","5"
"01.04.2020","103","19","7"
"02.04.2020","112","18","4"
"03.04.2020","112","13","7"
"04.04.2020","69","11","3"
"05.04.2020","36","4","1"
"06.04.2020","61","15","5"
"07.04.2020","112","21","11"
"08.04.2020","90","19","5"
"09.04.2020","92","13","5"
"10.04.2020","34","4","1"
"11.04.2020","41","7","3"
"12.04.2020","16","3","0"
"13.04.2020","98","5","12"
"14.04.2020","17","1","1"
"15.04.2020","42","8","3"
"16.04.2020","51","7","3"
"17.04.2020","40","6","3"
"18.04.2020","25","6","2"
"19.04.2020","9","2","1"
"20.04.2020","28","13","4"
"21.04.2020","38","7","2"
"22.04.2020","35","8","5"
"23.04.2020","40","5","2"
"24.04.2020","39","8","2"
"25.04.2020","16","3","2"
"26.04.2020","6","4","1"
"27.04.2020","13","1","1"
"28.04.2020","21","3","0"
"29.04.2020","18","4","0"
"30.04.2020","19","5","1"
"01.05.2020","13","2","1"
"02.05.2020","11","2","2"
"03.05.2020","49","1","0"
"04.05.2020","14","3","0"
"05.05.2020","49","6","0"
"06.05.2020","16","2","0"
"07.05.2020","34","4","1"
"08.05.2020","22","4","1"
"09.05.2020","19","1","0"
"10.05.2020","20","4","1"
"11.05.2020","5","0","1"
"12.05.2020","16","3","0"
"13.05.2020","12","0","0"
"14.05.2020","5","0","0"
"15.05.2020","7","0","0"
"16.05.2020","2","1","0"
"17.05.2020","1","0","0"
"18.05.2020","0","0","0"
"19.05.2020","14","3","1"
"20.05.2020","9","1","0"
"21.05.2020","23","2","0"
"22.05.2020","18","4","1"
"23.05.2020","0","0","0"
"24.05.2020","0","0","0"
"25.05.2020","0","0","0"
"26.05.2020","7","2","0"
"27.05.2020","0","0","0"
"28.05.2020","6","1","0"
"29.05.2020","14","3","2"
"30.05.2020","4","0","0"
"31.05.2020","3","0","0"
"01.06.2020","5","0","0"
"02.06.2020","1","0","0"
"03.06.2020","0","0","0"
"04.06.2020","0","0","0"
"05.06.2020","2","1","0"
"06.06.2020","2","0","0"
"07.06.2020","1","0","0"
"08.06.2020","2","0","0"
"09.06.2020","1","0","0"
"10.06.2020","2","0","0"
"11.06.2020","3","1","0"
"12.06.2020","1","1","1"
"13.06.2020","0","0","0"
"14.06.2020","0","0","0"
"15.06.2020","2","1","0"
"16.06.2020","1","0","0"
"17.06.2020","0","0","0"
"18.06.2020","9","0","0"
"19.06.2020","2","0","0"
"20.06.2020","1","0","0"
"21.06.2020","2","1","0"
"22.06.2020","0","0","0"
"23.06.2020","1","0","0"
"24.06.2020","4","0","0"
"25.06.2020","6","1","1"
"26.06.2020","1","1","0"
"27.06.2020","3","0","0"
"28.06.2020","1","0","0"
"29.06.2020","3","0","0"
"30.06.2020","5","0","0"
"01.07.2020","12","1","0"
"02.07.2020","5","0","0"
"03.07.2020","4","0","0"
"04.07.2020","3","0","0"
"05.07.2020","5","0","0"
"06.07.2020","0","0","0"
"07.07.2020","4","0","0"
"08.07.2020","7","1","1"
"09.07.2020","3","0","0"
"10.07.2020","1","0","0"
"11.07.2020","0","0","0"
"12.07.2020","8","1","0"
"13.07.2020","8","3","1"
"14.07.2020","7","0","0"
"15.07.2020","8","4","0"
"16.07.2020","2","0","0"
"17.07.2020","14","2","1"
"18.07.2020","4","0","0"
"19.07.2020","7","0","0"
"20.07.2020","9","1","0"
"21.07.2020","6","1","0"
"22.07.2020","17","1","0"
"23.07.2020","8","2","0"
"24.07.2020","12","3","1"
"25.07.2020","7","1","0"
"26.07.2020","7","1","0"
"27.07.2020","23","4","2"
"28.07.2020","26","2","0"
"29.07.2020","31","3","0"
"30.07.2020","25","4","0"
"31.07.2020","24","1","0"
"01.08.2020","16","1","0"
"02.08.2020","7","1","0"
"03.08.2020","17","2","0"
"04.08.2020","22","2","0"
"05.08.2020","16","0","0"
"06.08.2020","36","1","0"
"07.08.2020","10","0","0"
"08.08.2020","9","1","0"
"09.08.2020","8","0","0"
"10.08.2020","35","5","0"
"11.08.2020","52","1","0"
"12.08.2020","38","3","1"
"13.08.2020","22","0","0"
"14.08.2020","33","4","0"
"15.08.2020","19","0","0"
"16.08.2020","2","0","0"
"17.08.2020","15","0","0"
"18.08.2020","18","1","0"
"19.08.2020","22","0","0"
"20.08.2020","24","0","0"
"21.08.2020","14","0","0"
"22.08.2020","14","2","0"
"23.08.2020","6","0","0"
"24.08.2020","20","0","0"
"25.08.2020","28","0","0"
"26.08.2020","22","0","0"
"27.08.2020","18","0","0"
"28.08.2020","17","0","0"
"29.08.2020","6","0","0"
"30.08.2020","9","0","0"
"31.08.2020","14","1","0"
"01.09.2020","16","1","0"
"02.09.2020","26","2","0"
"03.09.2020","21","2","0"
"04.09.2020","9","0","0"
"05.09.2020","8","1","0"
"06.09.2020","4","0","0"
"07.09.2020","19","1","0"
"08.09.2020","21","1","0"
"09.09.2020","24","2","0"
"10.09.2020","16","0","0"
"11.09.2020","8","0","0"
"12.09.2020","4","1","0"
"13.09.2020","8","0","0"

"Datenstand 13.09.2020 19:14:46"
